CRC32	lastAccessTime	lastModifiedTime	creationTime	rootFolder	subFolder0	subFolder1	subFolder2	subFolder3	subFolder4	subFolder5	subFolder6	subFolder7	subFolder8	subFolder9	fileName	fileExtension	growthMedium	measurementPosition	measurementTime	objective	Zelltyp	~File location	
b06fca33	2015-03-19, 13:01:30	2015-03-19, 13:01:30	2015-03-19, 13:01:30	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK 570 (Non-Producer)	BHK_570_Medium_60wi_50sec_Cs1	asc	Medium	_Cs	50sec	60wi	BHK_570	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK 570 (Non-Producer)\BHK_570_Medium_60wi_50sec_Cs1.asc	
89a27620	2015-03-19, 13:01:30	2015-03-19, 13:01:30	2015-03-19, 13:01:30	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK 570 (Non-Producer)	BHK_570_Medium_60wi_50sec_Cs10	asc	Medium	_Cs	50sec	60wi	BHK_570	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK 570 (Non-Producer)\BHK_570_Medium_60wi_50sec_Cs10.asc	
66f0c0c1	2015-03-19, 13:01:30	2015-03-19, 13:01:30	2015-03-19, 13:01:30	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK 570 (Non-Producer)	BHK_570_Medium_60wi_50sec_Cs11	asc	Medium	_Cs	50sec	60wi	BHK_570	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK 570 (Non-Producer)\BHK_570_Medium_60wi_50sec_Cs11.asc	
8c761da3	2015-03-19, 13:01:30	2015-03-19, 13:01:30	2015-03-19, 13:01:30	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK 570 (Non-Producer)	BHK_570_Medium_60wi_50sec_Cs12	asc	Medium	_Cs	50sec	60wi	BHK_570	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK 570 (Non-Producer)\BHK_570_Medium_60wi_50sec_Cs12.asc	
6324ab42	2015-03-19, 13:01:30	2015-03-19, 13:01:30	2015-03-19, 13:01:30	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK 570 (Non-Producer)	BHK_570_Medium_60wi_50sec_Cs13	asc	Medium	_Cs	50sec	60wi	BHK_570	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK 570 (Non-Producer)\BHK_570_Medium_60wi_50sec_Cs13.asc	
820aa126	2015-03-19, 13:01:30	2015-03-19, 13:01:30	2015-03-19, 13:01:30	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK 570 (Non-Producer)	BHK_570_Medium_60wi_50sec_Cs14	asc	Medium	_Cs	50sec	60wi	BHK_570	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK 570 (Non-Producer)\BHK_570_Medium_60wi_50sec_Cs14.asc	
6d5817c7	2015-03-19, 13:01:30	2015-03-19, 13:01:30	2015-03-19, 13:01:30	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK 570 (Non-Producer)	BHK_570_Medium_60wi_50sec_Cs15	asc	Medium	_Cs	50sec	60wi	BHK_570	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK 570 (Non-Producer)\BHK_570_Medium_60wi_50sec_Cs15.asc	
87decaa5	2015-03-19, 13:01:30	2015-03-19, 13:01:30	2015-03-19, 13:01:30	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK 570 (Non-Producer)	BHK_570_Medium_60wi_50sec_Cs16	asc	Medium	_Cs	50sec	60wi	BHK_570	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK 570 (Non-Producer)\BHK_570_Medium_60wi_50sec_Cs16.asc	
688c7c44	2015-03-19, 13:01:30	2015-03-19, 13:01:30	2015-03-19, 13:01:30	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK 570 (Non-Producer)	BHK_570_Medium_60wi_50sec_Cs17	asc	Medium	_Cs	50sec	60wi	BHK_570	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK 570 (Non-Producer)\BHK_570_Medium_60wi_50sec_Cs17.asc	
9ef3d82c	2015-03-19, 13:01:30	2015-03-19, 13:01:30	2015-03-19, 13:01:30	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK 570 (Non-Producer)	BHK_570_Medium_60wi_50sec_Cs18	asc	Medium	_Cs	50sec	60wi	BHK_570	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK 570 (Non-Producer)\BHK_570_Medium_60wi_50sec_Cs18.asc	
